-7.4738,0.3729,12.731,0.77911,0.78789,0.13355,131.57,43.86,44.16,0.99997,0.0019535,0.0069609,-0.0034652,0.22111,0.79844,-0.39555
-7.2272,0.3833,14.4,0.75487,0.71106,0.043406,131.57,43.86,44.16,0.99987,0.0039671,0.013647,-0.0073357,0.44323,1.5672,-0.83464
-7.2687,0.4932,15.734,0.71613,0.61439,-0.0514,131.57,43.86,44.16,0.99971,0.0060538,0.020108,-0.011472,0.66764,2.3121,-1.3014
-7.1735,0.6152,16.548,0.66047,0.45792,-0.15766,131.57,43.86,44.16,0.99949,0.008204,0.026314,-0.015841,0.89316,3.0302,-1.7924
-6.7999,0.484,16.68,0.6028,0.29014,-0.26992,131.57,43.86,44.16,0.99922,0.010208,0.032287,-0.020478,1.0954,3.7234,-2.3125
-5.8282,0.4712,16.141,0.53955,0.12984,-0.37936,131.57,43.86,44.16,0.99888,0.01223,0.037836,-0.025535,1.293,4.3709,-2.8794
-4.3536,0.3992,16.205,0.48403,0.056985,-0.47164,77.59,53.98,40.76,0.99853,0.015177,0.041081,-0.032051,1.5914,4.7619,-3.6107
-2.5824,0.2325,16.271,0.41226,0.086027,-0.52983,77.59,53.98,40.76,0.99815,0.018038,0.042947,-0.039156,1.8779,4.9995,-4.411
-0.993,-0.0732,16.361,0.33702,0.22185,-0.54994,77.59,53.98,40.76,0.99776,0.020525,0.043308,-0.046622,2.1241,5.0678,-5.2565
-0.1532,-0.2417,17.269,0.26005,0.41,-0.53877,77.59,53.98,40.76,0.99736,0.022682,0.042841,-0.054123,2.3363,5.0434,-6.1095
0.1123,-0.4236,17.749,0.16924,0.52171,-0.52171,77.59,53.98,40.76,0.99691,0.024497,0.042139,-0.061634,2.5112,4.9932,-6.9661
0.1538,-0.705,17.813,0.076568,0.57245,-0.51173,77.59,53.98,40.76,0.99641,0.025861,0.041404,-0.069192,2.6352,4.9387,-7.831
0.1056,-1.076,17.936,-0.0075922,0.5329,-0.50932,77.59,53.98,40.76,0.99586,0.026669,0.040692,-0.076811,2.696,4.8843,-8.706
0.6989,-1.3385,17.935,-0.086952,0.42624,-0.50773,77.59,53.98,40.76,0.9953,0.02696,0.039259,-0.084334,2.7057,4.7436,-9.5744
1.778,-1.6418,18.273,-0.15966,0.35301,-0.48389,77.59,53.98,40.76,0.99477,0.026696,0.036725,-0.091518,2.667,4.4708,-10.409
2.3438,-1.5381,19.446,-0.24461,0.32104,-0.43968,77.59,53.98,40.76,0.99421,0.026461,0.033771,-0.098486,2.6414,4.1497,-11.219
1.8549,-1.4655,19.999,-0.35327,0.27217,-0.39828,77.59,53.98,40.76,0.99357,0.026224,0.031293,-0.10561,2.6139,3.8832,-12.046
1.1292,-1.4587,19.713,-0.47164,0.19881,-0.37418,77.59,53.98,40.76,0.99283,0.025859,0.029519,-0.11291,2.5663,3.6955,-12.893
0.285,-1.2604,19.225,-0.59069,0.11704,-0.36765,77.59,53.98,40.76,0.99199,0.025614,0.028673,-0.12035,2.5221,3.6151,-13.755
-0.3101,-0.8521,18.065,-0.70042,0.0057247,-0.38362,77.59,53.98,40.76,0.99106,0.025736,0.028509,-0.12779,2.5111,3.6169,-14.616
-0.7983,-0.4041,16.599,-0.804,-0.0795,-0.41,77.59,53.98,40.76,0.99005,0.026354,0.029007,-0.13512,2.5469,3.7015,-15.461
-0.8081,-0.0616,15.262,-0.88696,-0.18296,-0.44302,77.59,53.98,40.76,0.989,0.027338,0.029459,-0.14235,2.6244,3.7873,-16.294
-0.8276,0.2271,13.254,-0.96459,-0.2486,-0.47471,77.59,53.98,40.76,0.9879,0.028738,0.030005,-0.14943,2.7468,3.8918,-17.11
-0.5597,0.5121,11.242,-1.0147,-0.28683,-0.50267,77.59,53.98,30.57,0.98676,0.030072,0.02984,-0.15654,2.873,3.9166,-17.931
-0.5927,0.3729,9.4153,-1.0414,-0.24195,-0.51892,77.59,53.98,30.57,0.98556,0.031211,0.03007,-0.16366,2.9694,3.9846,-18.754
